Structure,,,,,,,,,Case 1,,,,,,,,,Difference (in ft),,,,,,
node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz
1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0
2,0.000911347,5.99E-05,-0.033562144,4.09E-06,0.001423174,2.12E-06,,,2,0.007705989,-0.000950528,-0.052744763,3.98E-06,0.001760707,-2.27E-05,,,2,-0.006794642,0.001010474,0.019182619,1.09572E-07,-0.000337533,2.48489E-05
3,0.001835952,0.000100515,-0.062348717,7.61E-06,0.000882063,1.32E-06,,,3,0.015355976,-0.000892563,-0.075788234,8.29E-06,0.001055242,7.12E-06,,,3,-0.013520025,0.000993078,0.013439517,-6.76356E-07,-0.000173179,-5.79968E-06
4,0.004008505,0.000141761,-0.084480174,1.00E-05,0.000680722,9.28E-07,,,4,0.024255115,-0.000851425,-0.113678653,1.07E-05,0.000813641,-3.26E-07,,,4,-0.020246611,0.000993186,0.029198479,-6.7554E-07,-0.000132919,1.25401E-06
5,0.006187166,0.00015489,-0.098319015,1.16E-05,0.000340893,4.55E-07,,,5,0.033160348,-0.000838339,-0.118431661,1.22E-05,0.000404039,7.13E-07,,,5,-0.026973181,0.000993229,0.020112646,-6.74012E-07,-6.31466E-05,-2.58119E-07
6,0.008781171,0.000168919,-0.103014878,1.20E-05,-7.69E-18,4.62E-18,,,6,0.042480927,-0.000824297,-0.135550414,1.26E-05,-6.92E-18,9.46E-18,,,6,-0.033699756,0.000993216,0.032535536,-6.7446E-07,-7.64845E-19,-4.83448E-18
7,0.011375175,0.00015489,-0.098319015,1.16E-05,-0.000340893,-4.55E-07,,,7,0.051801506,-0.000838339,-0.118431661,1.22E-05,-0.000404039,-7.13E-07,,,7,-0.040426331,0.000993229,0.020112646,-6.74012E-07,6.31466E-05,2.58119E-07
8,0.013553837,0.000141761,-0.084480174,1.00E-05,-0.000680722,-9.28E-07,,,8,0.060706739,-0.000851425,-0.113678653,1.07E-05,-0.000813641,3.26E-07,,,8,-0.047152902,0.000993186,0.029198479,-6.7554E-07,0.000132919,-1.25401E-06
9,0.01572639,0.000100515,-0.062348717,7.61E-06,-0.000882063,-1.32E-06,,,9,0.069605878,-0.000892563,-0.075788234,8.29E-06,-0.001055242,-7.12E-06,,,9,-0.053879487,0.000993078,0.013439517,-6.76356E-07,0.000173179,5.79968E-06
10,0.016650995,5.99E-05,-0.033562144,4.09E-06,-0.001423174,-2.12E-06,,,10,0.077255865,-0.000950528,-0.052744763,3.98E-06,-0.001760707,2.27E-05,,,10,-0.06060487,0.001010474,0.019182619,1.09572E-07,0.000337533,-2.48489E-05
11,0.017562342,0,0,0,0,0,,,11,0.084961854,0,0,0,0,0,,,11,-0.067399512,0,0,0,0,0
12,0.018525309,1.62E-06,-1.91E-06,-4.37E-08,0.001389063,-1.93E-06,,,12,0.025028684,-0.00127505,0.003989054,5.43E-05,0.002207618,6.89E-06,,,12,-0.006503375,0.00127667,-0.00399096,-5.43219E-05,-0.000818555,-8.82419E-06
13,0.018524321,-7.12E-05,-0.033313938,4.44E-06,0.001066005,-2.62E-06,,,13,0.030450627,-0.001080818,-0.048546038,4.75E-06,0.001216898,1.84E-06,,,13,-0.011926306,0.001009665,0.0152321,-3.07752E-07,-0.000150893,-4.46578E-06
14,0.016586204,-0.000143469,-0.062346265,8.26E-06,0.000946893,-1.72E-06,,,14,0.033956205,-0.001158372,-0.071815679,9.00E-06,0.001162665,-2.78E-06,,,14,-0.017370002,0.001014903,0.009469414,-7.38477E-07,-0.000215772,1.05159E-06
15,0.01463573,-0.000178857,-0.084204685,1.09E-05,0.000652281,-1.20E-06,,,15,0.037448966,-0.001193689,-0.109445795,1.16E-05,0.000775486,-9.84E-07,,,15,-0.022813237,0.001014832,0.025241109,-7.33559E-07,-0.000123205,-2.1978E-07
16,0.011710571,-0.000215608,-0.098317359,1.26E-05,0.000340215,-5.93E-07,,,16,0.039967068,-0.001230433,-0.114461592,1.33E-05,0.000405474,-6.36E-07,,,16,-0.028256497,0.001014825,0.016144233,-7.31866E-07,-6.52591E-05,4.36339E-08
17,0.008781171,-0.000214928,-0.102738062,1.30E-05,-5.66E-18,-3.32E-18,,,17,0.042480927,-0.001229756,-0.131315845,1.37E-05,-3.97E-18,-1.16E-18,,,17,-0.033699756,0.001014827,0.028577783,-7.32355E-07,-1.68433E-18,-2.15616E-18
18,0.005851771,-0.000215608,-0.098317359,1.26E-05,-0.000340215,5.93E-07,,,18,0.044994786,-0.001230433,-0.114461592,1.33E-05,-0.000405474,6.36E-07,,,18,-0.039143016,0.001014825,0.016144233,-7.31866E-07,6.52591E-05,-4.36339E-08
19,0.002926612,-0.000178857,-0.084204685,1.09E-05,-0.000652281,1.20E-06,,,19,0.047512887,-0.001193689,-0.109445795,1.16E-05,-0.000775486,9.84E-07,,,19,-0.044586276,0.001014832,0.025241109,-7.33559E-07,0.000123205,2.1978E-07
20,0.000976138,-0.000143469,-0.062346265,8.26E-06,-0.000946893,1.72E-06,,,20,0.051005649,-0.001158372,-0.071815679,9.00E-06,-0.001162665,2.78E-06,,,20,-0.05002951,0.001014903,0.009469414,-7.38477E-07,0.000215772,-1.05159E-06
21,-0.00096198,-7.12E-05,-0.033313938,4.44E-06,-0.001066005,2.62E-06,,,21,0.054511227,-0.001080818,-0.048546038,4.75E-06,-0.001216898,-1.84E-06,,,21,-0.055473206,0.001009665,0.0152321,-3.07752E-07,0.000150893,4.46578E-06
22,-0.000962968,1.62E-06,-1.91E-06,-4.37E-08,-0.001389063,1.93E-06,,,22,0.05993317,-0.00127505,0.003989054,5.43E-05,-0.002207618,-6.89E-06,,,22,-0.060896138,0.00127667,-0.00399096,-5.43219E-05,0.000818555,8.82419E-06
23,0,0,0,0,0,0,,,23,0,0,0,0,0,0,,,23,0,0,0,0,0,0
24,0.000911347,-5.99E-05,-0.033562144,-4.09E-06,0.001423174,-2.12E-06,,,24,0.007705989,0.000950528,-0.052744763,-3.98E-06,0.001760707,2.27E-05,,,24,-0.006794642,-0.001010474,0.019182619,-1.09572E-07,-0.000337533,-2.48489E-05
25,0.001835952,-0.000100515,-0.062348717,-7.61E-06,0.000882063,-1.32E-06,,,25,0.015355976,0.000892563,-0.075788234,-8.29E-06,0.001055242,-7.12E-06,,,25,-0.013520025,-0.000993078,0.013439517,6.76356E-07,-0.000173179,5.79968E-06
26,0.004008505,-0.000141761,-0.084480174,-1.00E-05,0.000680722,-9.28E-07,,,26,0.024255115,0.000851425,-0.113678653,-1.07E-05,0.000813641,3.26E-07,,,26,-0.020246611,-0.000993186,0.029198479,6.7554E-07,-0.000132919,-1.25401E-06
27,0.006187166,-0.00015489,-0.098319015,-1.16E-05,0.000340893,-4.55E-07,,,27,0.033160348,0.000838339,-0.118431661,-1.22E-05,0.000404039,-7.13E-07,,,27,-0.026973181,-0.000993229,0.020112646,6.74012E-07,-6.31466E-05,2.58119E-07
28,0.008781171,-0.000168919,-0.103014878,-1.20E-05,8.40E-18,4.34E-18,,,28,0.042480927,0.000824297,-0.135550414,-1.26E-05,1.41E-17,8.48E-18,,,28,-0.033699756,-0.000993216,0.032535536,6.7446E-07,-5.68124E-18,-4.1381E-18
29,0.011375175,-0.00015489,-0.098319015,-1.16E-05,-0.000340893,4.55E-07,,,29,0.051801506,0.000838339,-0.118431661,-1.22E-05,-0.000404039,7.13E-07,,,29,-0.040426331,-0.000993229,0.020112646,6.74012E-07,6.31466E-05,-2.58119E-07
30,0.013553837,-0.000141761,-0.084480174,-1.00E-05,-0.000680722,9.28E-07,,,30,0.060706739,0.000851425,-0.113678653,-1.07E-05,-0.000813641,-3.26E-07,,,30,-0.047152902,-0.000993186,0.029198479,6.7554E-07,0.000132919,1.25401E-06
31,0.01572639,-0.000100515,-0.062348717,-7.61E-06,-0.000882063,1.32E-06,,,31,0.069605878,0.000892563,-0.075788234,-8.29E-06,-0.001055242,7.12E-06,,,31,-0.053879487,-0.000993078,0.013439517,6.76356E-07,0.000173179,-5.79968E-06
32,0.016650995,-5.99E-05,-0.033562144,-4.09E-06,-0.001423174,2.12E-06,,,32,0.077255865,0.000950528,-0.052744763,-3.98E-06,-0.001760707,-2.27E-05,,,32,-0.06060487,-0.001010474,0.019182619,-1.09572E-07,0.000337533,2.48489E-05
33,0.017562342,0,0,0,0,0,,,33,0.084961854,0,0,0,0,0,,,33,-0.067399512,0,0,0,0,0
34,0.018525309,-1.62E-06,-1.91E-06,4.37E-08,0.001389063,1.93E-06,,,34,0.025028684,0.00127505,0.003989054,-5.43E-05,0.002207618,-6.89E-06,,,34,-0.006503375,-0.00127667,-0.00399096,5.43219E-05,-0.000818555,8.82419E-06
35,0.018524321,7.12E-05,-0.033313938,-4.44E-06,0.001066005,2.62E-06,,,35,0.030450627,0.001080818,-0.048546038,-4.75E-06,0.001216898,-1.84E-06,,,35,-0.011926306,-0.001009665,0.0152321,3.07752E-07,-0.000150893,4.46578E-06
36,0.016586204,0.000143469,-0.062346265,-8.26E-06,0.000946893,1.72E-06,,,36,0.033956205,0.001158372,-0.071815679,-9.00E-06,0.001162665,2.78E-06,,,36,-0.017370002,-0.001014903,0.009469414,7.38477E-07,-0.000215772,-1.05159E-06
37,0.01463573,0.000178857,-0.084204685,-1.09E-05,0.000652281,1.20E-06,,,37,0.037448966,0.001193689,-0.109445795,-1.16E-05,0.000775486,9.84E-07,,,37,-0.022813237,-0.001014832,0.025241109,7.33559E-07,-0.000123205,2.1978E-07
38,0.011710571,0.000215608,-0.098317359,-1.26E-05,0.000340215,5.93E-07,,,38,0.039967068,0.001230433,-0.114461592,-1.33E-05,0.000405474,6.36E-07,,,38,-0.028256497,-0.001014825,0.016144233,7.31866E-07,-6.52591E-05,-4.36339E-08
39,0.008781171,0.000214928,-0.102738062,-1.30E-05,6.88E-18,-2.34E-18,,,39,0.042480927,0.001229756,-0.131315845,-1.37E-05,1.31E-17,-2.40E-18,,,39,-0.033699756,-0.001014827,0.028577783,7.32355E-07,-6.25109E-18,6.54999E-20
40,0.005851771,0.000215608,-0.098317359,-1.26E-05,-0.000340215,-5.93E-07,,,40,0.044994786,0.001230433,-0.114461592,-1.33E-05,-0.000405474,-6.36E-07,,,40,-0.039143016,-0.001014825,0.016144233,7.31866E-07,6.52591E-05,4.36339E-08
41,0.002926612,0.000178857,-0.084204685,-1.09E-05,-0.000652281,-1.20E-06,,,41,0.047512887,0.001193689,-0.109445795,-1.16E-05,-0.000775486,-9.84E-07,,,41,-0.044586276,-0.001014832,0.025241109,7.33559E-07,0.000123205,-2.1978E-07
42,0.000976138,0.000143469,-0.062346265,-8.26E-06,-0.000946893,-1.72E-06,,,42,0.051005649,0.001158372,-0.071815679,-9.00E-06,-0.001162665,-2.78E-06,,,42,-0.05002951,-0.001014903,0.009469414,7.38477E-07,0.000215772,1.05159E-06
43,-0.00096198,7.12E-05,-0.033313938,-4.44E-06,-0.001066005,-2.62E-06,,,43,0.054511227,0.001080818,-0.048546038,-4.75E-06,-0.001216898,1.84E-06,,,43,-0.055473206,-0.001009665,0.0152321,3.07752E-07,0.000150893,-4.46578E-06
44,-0.000962968,-1.62E-06,-1.91E-06,4.37E-08,-0.001389063,-1.93E-06,,,44,0.05993317,0.00127505,0.003989054,-5.43E-05,-0.002207618,6.89E-06,,,44,-0.060896138,-0.00127667,-0.00399096,5.43219E-05,0.000818555,-8.82419E-06
