node,ux,uy,uz,rx,ry,rz
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0006624999999999995,0.0,-0.00295150462962963,0.0,0.0,0.0
3,0.0015626543209876535,0.0,-0.00295150462962963,0.0,0.0,0.0
4,0.001324999999999999,-0.0003312499999999998,-0.002956134259259259,0.0,0.0,0.0
5,0.0009501543209876533,0.0,-0.0028672453703703703,0.0,0.0,0.0
6,0.001937499999999999,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0006624999999999995,0.0,-0.00295150462962963,0.0,0.0,0.0
9,0.0015626543209876537,0.0,-0.00295150462962963,0.0,0.0,0.0
10,0.001324999999999999,-0.0003312499999999998,-0.0029561342592592595,0.0,0.0,0.0
11,0.0009501543209876535,0.0,-0.0028672453703703707,0.0,0.0,0.0
12,0.0019374999999999991,0.0,0.0,0.0,0.0,0.0
