element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,26.0,50.78419356603114
2,3d_frame,2,3,26.0,51.474256896825686
3,3d_frame,3,4,26.0,120.55328535026327
4,3d_frame,4,5,26.0,120.89018207355235
5,3d_frame,5,6,26.0,143.89284656534448
6,3d_frame,6,7,26.0,143.8928465653443
7,3d_frame,7,8,26.0,120.8901820735498
8,3d_frame,8,9,26.0,120.55328535025978
9,3d_frame,9,10,26.0,51.47425689682382
10,3d_frame,10,11,26.0,50.78419356602865
12,3d_frame,13,14,26.0,-89.66305867636231
13,3d_frame,14,15,26.0,-90.23562165728595
14,3d_frame,15,16,26.0,-135.22723936714294
15,3d_frame,16,17,26.0,-135.4232326376009
16,3d_frame,17,18,26.0,-135.42323263759914
17,3d_frame,18,19,26.0,-135.22723936714027
18,3d_frame,19,20,26.0,-90.23562165728373
19,3d_frame,20,21,26.0,-89.66305867636096
21,3d_frame,23,24,26.0,50.784193566029245
22,3d_frame,24,25,26.0,51.474256896824215
23,3d_frame,25,26,26.0,120.55328535026507
24,3d_frame,26,27,26.0,120.89018207355454
25,3d_frame,27,28,26.0,143.89284656534534
26,3d_frame,28,29,26.0,143.89284656534613
27,3d_frame,29,30,26.0,120.89018207355014
28,3d_frame,30,31,26.0,120.55328535026172
29,3d_frame,31,32,26.0,51.47425689682211
30,3d_frame,32,33,26.0,50.78419356602785
32,3d_frame,35,36,26.0,-89.6630586763664
33,3d_frame,36,37,26.0,-90.23562165728856
34,3d_frame,37,38,26.0,-135.22723936714567
35,3d_frame,38,39,26.0,-135.4232326376046
36,3d_frame,39,40,26.0,-135.4232326376012
37,3d_frame,40,41,26.0,-135.22723936714308
38,3d_frame,41,42,26.0,-90.23562165728299
39,3d_frame,42,43,26.0,-89.66305867636063
41,3d_frame,1,23,15.5,0.0
42,3d_frame,2,24,15.5,-7.468265849785796
43,3d_frame,3,25,15.5,-12.486618413325946
44,3d_frame,4,26,15.5,-17.59289912015889
45,3d_frame,5,27,15.5,-19.21909764310026
46,3d_frame,6,28,15.5,-20.95684224026396
47,3d_frame,7,29,15.5,-19.21909764310005
48,3d_frame,8,30,15.5,-17.59289912015837
49,3d_frame,9,31,15.5,-12.486618413325523
50,3d_frame,10,32,15.5,-7.468265849785522
51,3d_frame,11,33,15.5,0.0
53,3d_frame,13,35,15.5,7.903923170102111
54,3d_frame,14,36,15.5,15.583034242006368
55,3d_frame,15,37,15.5,19.42326535697091
56,3d_frame,16,38,15.5,23.40699725222655
57,3d_frame,17,39,15.5,23.333413987142464
58,3d_frame,18,40,15.5,23.406997252226006
59,3d_frame,19,41,15.5,19.423265356970347
60,3d_frame,20,42,15.5,15.583034242005759
61,3d_frame,21,43,15.5,7.903923170101787
64,3d_frame,2,13,20.0,8.936009912013787
65,3d_frame,3,14,20.0,0.15322779547977916
66,3d_frame,4,15,20.0,9.913557286901778
67,3d_frame,5,16,20.0,0.062386510016949615
68,3d_frame,6,17,20.0,9.964733098449415
69,3d_frame,7,18,20.0,0.06238651001649487
70,3d_frame,8,19,20.0,9.913557286901323
71,3d_frame,9,20,20.0,0.15322779547841492
72,3d_frame,10,21,20.0,8.936009912013333
75,3d_frame,24,35,20.0,8.936009912014015
76,3d_frame,25,36,20.0,0.15322779547841492
77,3d_frame,26,37,20.0,9.913557286902687
78,3d_frame,27,38,20.0,0.062386510015130625
79,3d_frame,28,39,20.0,9.964733098448505
80,3d_frame,29,40,20.0,0.062386510015130625
81,3d_frame,30,41,20.0,9.913557286900868
82,3d_frame,31,42,20.0,0.1532277954793244
83,3d_frame,32,43,20.0,8.936009912014015
85,3d_truss,1,13,32.802438933713454,-72.1984001128136
86,3d_truss,13,3,32.802438933713454,57.222447199580095
87,3d_truss,3,15,32.802438933713454,-40.734391928023456
88,3d_truss,15,5,32.802438933713454,24.442220618892694
89,3d_truss,5,17,32.802438933713454,-8.172787104378976
90,3d_truss,17,7,32.802438933713454,-8.172787104381197
91,3d_truss,7,19,32.802438933713454,24.44222061889305
92,3d_truss,19,9,32.802438933713454,-40.73439192802239
93,3d_truss,9,21,32.802438933713454,57.22244719957859
94,3d_truss,21,11,32.802438933713454,-72.19840011281318
95,3d_truss,23,35,32.802438933713454,-72.19840011281623
96,3d_truss,35,25,32.802438933713454,57.22244719958303
97,3d_truss,25,37,32.802438933713454,-40.73439192802426
98,3d_truss,37,27,32.802438933713454,24.442220618891717
99,3d_truss,27,39,32.802438933713454,-8.172787104377287
100,3d_truss,39,29,32.802438933713454,-8.172787104382707
101,3d_truss,29,41,32.802438933713454,24.442220618894293
102,3d_truss,41,31,32.802438933713454,-40.73439192802568
103,3d_truss,31,43,32.802438933713454,57.22244719957948
104,3d_truss,43,33,32.802438933713454,-72.1984001128121
105,3d_truss,1,24,30.26962173533062,7.499869644799649
106,3d_truss,23,2,30.26962173533062,7.49986964479932
107,3d_truss,2,25,30.26962173533062,7.094355833127446
108,3d_truss,24,3,30.26962173533062,7.094355833127317
109,3d_truss,3,26,30.26962173533062,17.297423335883153
110,3d_truss,25,4,30.26962173533062,17.297423335883007
111,3d_truss,4,27,30.26962173533062,17.07337458275193
112,3d_truss,26,5,30.26962173533062,17.073374582751647
113,3d_truss,5,28,30.26962173533062,20.471205573087886
114,3d_truss,27,6,30.26962173533062,20.47120557308742
115,3d_truss,6,29,30.26962173533062,20.47120557308799
116,3d_truss,28,7,30.26962173533062,20.471205573087428
117,3d_truss,7,30,30.26962173533062,17.07337458275167
118,3d_truss,29,8,30.26962173533062,17.07337458275091
119,3d_truss,8,31,30.26962173533062,17.29742333588295
120,3d_truss,30,9,30.26962173533062,17.297423335882232
121,3d_truss,9,32,30.26962173533062,7.094355833127335
122,3d_truss,31,10,30.26962173533062,7.094355833126883
123,3d_truss,10,33,30.26962173533062,7.499869644799305
124,3d_truss,32,11,30.26962173533062,7.499869644799099
127,3d_truss,13,36,30.26962173533062,-15.438389634194479
128,3d_truss,35,14,30.26962173533062,-15.438389634194634
129,3d_truss,14,37,30.26962173533062,-15.004624606860641
130,3d_truss,36,15,30.26962173533062,-15.004624606860824
131,3d_truss,15,38,30.26962173533062,-22.936871710233035
132,3d_truss,37,16,30.26962173533062,-22.93687171023301
133,3d_truss,16,39,30.26962173533062,-22.789936380426774
134,3d_truss,38,17,30.26962173533062,-22.789936380426436
135,3d_truss,17,40,30.26962173533062,-22.7899363804263
136,3d_truss,39,18,30.26962173533062,-22.789936380425964
137,3d_truss,18,41,30.26962173533062,-22.93687171023272
138,3d_truss,40,19,30.26962173533062,-22.93687171023249
139,3d_truss,19,42,30.26962173533062,-15.004624606860173
140,3d_truss,41,20,30.26962173533062,-15.004624606859949
141,3d_truss,20,43,30.26962173533062,-15.438389634194012
142,3d_truss,42,21,30.26962173533062,-15.438389634193834
